Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Halobacteriales archaeon QH_8_64_26		isolate: QH_8_64_26	1919162	ASM302172v1	GCA_003021725.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	26277	3053165	2018-03-27	3120	PRJNA351262	SAMN06020765
Halobacteriales archaeon QH_7_69_31		isolate: QH_7_69_31	1919161	ASM302174v1	GCA_003021745.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	17470	2203208	2018-03-27	2279	PRJNA351262	SAMN06020763
Halobacteriales archaeon QH_8_67_36		isolate: QH_8_67_36	1919164	ASM302175v1	GCA_003021755.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	12417	1729303	2018-03-27	1827	PRJNA351262	SAMN06020764
Halobacteriales archaeon QH_7_65_31		isolate: QH_7_65_31	1919157	ASM302178v1	GCA_003021785.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	207362	2249255	2018-03-27	2425	PRJNA351262	SAMN06020759
Halobacteriales archaeon QH_6_68_27		isolate: QH_6_68_27	1919156	ASM302179v1	GCA_003021795.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	4925	1752204	2018-03-27	1923	PRJNA351262	SAMN06020758
Halobacteriales archaeon QS_5_70_17		isolate: QS_5_70_17	1919181	ASM302197v1	GCA_003021975.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	31469	2606427	2018-03-27	2715	PRJNA351262	SAMN06020782
Halobacteriales archaeon QS_5_70_15		isolate: QS_5_70_15	1919180	ASM302200v1	GCA_003022005.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	30254	3211570	2018-03-27	3342	PRJNA351262	SAMN06020781
Halobacteriales archaeon QS_1_67_19		isolate: QS_1_67_19	1919167	ASM302202v1	GCA_003022025.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	100491	2080381	2018-03-27	2168	PRJNA351262	SAMN06020770
Halobacteriales archaeon QH_8_67_27		isolate: QH_8_67_27	1919163	ASM302204v1	GCA_003022045.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	10082	2178068	2018-03-27	2309	PRJNA351262	SAMN06020767
Halobacteriales archaeon QH_8_68_33		isolate: QH_8_68_33	1919165	ASM302205v1	GCA_003022055.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	5421	1627627	2018-03-27	1865	PRJNA351262	SAMN06020766
Halobacteriales archaeon QH_10_65_19		isolate: QH_10_65_19	1919147	ASM302208v1	GCA_003022085.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	8602	1552872	2018-03-27	1606	PRJNA351262	SAMN06020749
Halobacteriales archaeon SW_9_67_24		isolate: SW_9_67_24	1919209	ASM302268v1	GCA_003022685.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	10819	2172785	2018-03-27	2360	PRJNA351262	SAMN06020812
Halobacteriales archaeon SW_7_65_23		isolate: SW_7_65_23	1919203	ASM302272v1	GCA_003022725.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	26219	2631222	2018-03-27	2608	PRJNA351262	SAMN06020807
Halobacteriales archaeon SW_9_67_25		isolate: SW_9_67_25	1919210	ASM302274v1	GCA_003022745.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	11055	1786328	2018-03-27	2018	PRJNA351262	SAMN06020811
Halobacteriales archaeon SW_8_65_20		isolate: SW_8_65_20	1919206	ASM302276v1	GCA_003022765.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	81921	2212984	2018-03-27	2376	PRJNA351262	SAMN06020808
Halobacteriales archaeon SW_7_68_16		isolate: SW_7_68_16	1919204	ASM302278v1	GCA_003022785.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	17540	1903693	2018-03-27	2059	PRJNA351262	SAMN06020805
Halobacteriales archaeon SW_7_71_33		isolate: SW_7_71_33	1919205	ASM302280v1	GCA_003022805.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	11751	1745279	2018-03-27	1834	PRJNA351262	SAMN06020806
Halobacteriales archaeon SW_5_68_122		isolate: SW_5_68_122	1919199	ASM302281v1	GCA_003022815.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	11657	1497262	2018-03-27	1728	PRJNA351262	SAMN06020802
Halobacteriales archaeon SW_10_66_29		isolate: SW_10_66_29	1919194	ASM302284v1	GCA_003022845.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	13524	2284663	2018-03-27	2288	PRJNA351262	SAMN06020796
Halobacteriales archaeon SW_5_70_135		isolate: SW_5_70_135	1919200	ASM302286v1	GCA_003022865.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	45764	1774465	2018-03-27	1765	PRJNA351262	SAMN06020801
Halobacteriales archaeon SW_12_71_31		isolate: SW_12_71_31	1919198	ASM302288v1	GCA_003022885.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	7473	947951	2018-03-27	1008	PRJNA351262	SAMN06020798
Halobacteriales archaeon QS_9_68_42		isolate: QS_9_68_42	1919192	ASM302290v1	GCA_003022905.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	11022	1517518	2018-03-27	1764	PRJNA351262	SAMN06020795
Halobacteriales archaeon QS_8_65_32		isolate: QS_8_65_32	1919186	ASM302292v1	GCA_003022925.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	25637	3278370	2018-03-27	3284	PRJNA351262	SAMN06020789
Halobacteriales archaeon QS_8_69_73		isolate: QS_8_69_73	1919188	ASM302294v1	GCA_003022945.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	38592	2633186	2018-03-27	2708	PRJNA351262	SAMN06020790
Halobacteriales archaeon QS_9_67_15		isolate: QS_9_67_15	1919189	ASM302316v1	GCA_003023165.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	12229	2348556	2018-03-27	2522	PRJNA351262	SAMN06020794
Halobacteriales archaeon QS_9_67_17		isolate: QS_9_67_17	1919190	ASM302318v1	GCA_003023185.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	22313	2017518	2018-03-27	2187	PRJNA351262	SAMN06020792
Halobacteriales archaeon QS_8_69_26		isolate: QS_8_69_26	1919187	ASM302319v1	GCA_003023195.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	74245	3291641	2018-03-27	3101	PRJNA351262	SAMN06020788
Halobacteriales archaeon SW_6_65_46		isolate: SW_6_65_46	1919202	ASM302321v1	GCA_003023215.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	172619	1922760	2018-03-27	2051	PRJNA351262	SAMN06020804
Halobacteriales archaeon SW_8_68_21		isolate: SW_8_68_21	1919208	ASM302340v1	GCA_003023405.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	36352	2438325	2018-03-27	2492	PRJNA351262	SAMN06020810
Halobacteriales archaeon SW_8_66_22		isolate: SW_8_66_22	1919207	ASM302341v1	GCA_003023415.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	13815	2230945	2018-03-27	2253	PRJNA351262	SAMN06020809
Halobacteriales archaeon SW_12_67_38		isolate: SW_12_67_38	1919196	ASM302344v1	GCA_003023445.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	5709	1663290	2018-03-27	1916	PRJNA351262	SAMN06020800
Halobacteriales archaeon SW_12_69_24		isolate: SW_12_69_24	1919197	ASM302345v1	GCA_003023455.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	5931	1258910	2018-03-27	1366	PRJNA351262	SAMN06020799
Halobacteriales archaeon SW_6_65_15		isolate: SW_6_65_15	1919201	ASM302346v1	GCA_003023465.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	14050	2510763	2018-03-27	2644	PRJNA351262	SAMN06020803
Halobacteriales archaeon SW_10_68_16		isolate: SW_10_68_16	1919195	ASM302348v1	GCA_003023485.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	12473	1565971	2018-03-27	1790	PRJNA351262	SAMN06020797
Halobacteriales archaeon QS_7_68_65		isolate: QS_7_68_65	1919184	ASM302352v1	GCA_003023525.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	5394	1162274	2018-03-27	1304	PRJNA351262	SAMN06020786
Halobacteriales archaeon QS_9_70_65		isolate: QS_9_70_65	1919193	ASM302353v1	GCA_003023535.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	9985	1891299	2018-03-27	2075	PRJNA351262	SAMN06020793
Halobacteriales archaeon QS_9_68_17		isolate: QS_9_68_17	1919191	ASM302356v1	GCA_003023565.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	67394	2882595	2018-03-27	2978	PRJNA351262	SAMN06020791
Halobacteriales archaeon QS_7_69_60		isolate: QS_7_69_60	1919185	ASM302357v1	GCA_003023575.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	5210	1340799	2018-03-27	1529	PRJNA351262	SAMN06020787
Halobacteriales archaeon QS_5_68_33		isolate: QS_5_68_33	1919179	ASM302378v1	GCA_003023785.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	30804	2419052	2018-03-27	2420	PRJNA351262	SAMN06020783
Halococcoides cellulosivorans		strain: HArcel1	1679096	ASM305836v1	GCA_003058365.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Complete Genome	2723120	2723120	2018-04-21	2641	PRJNA449302	SAMN08826612
Halogeometricum sp. wsp3		strain: wsp3	2218585	ASM322623v1	GCA_003226235.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	3063820	3343453	2018-06-12	4052	PRJNA445204	SAMN08770270
Halorubrum sp. 48-1-W		strain: 48-1-W	2249761	ASM328735v1	GCA_003287355.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	88082	3584929	2018-07-03	3506	PRJNA478008	SAMN09489299
halophilic archaeon		strain: H22	29295	ASM329846v1	GCA_003298465.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	461931	5605381	2018-07-09	5543	PRJNA473899	SAMN09288189
Haloplanus salinus		strain: JCM 18368	1126245	ASM333624v1	GCA_003336245.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	2969394	3549098	2018-07-23	3593	PRJNA481615	SAMN09684816
Haloplanus rubicundus		strain: CBA1112	1547898	ASM334267v1	GCA_003342675.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Complete Genome	3401387	3773640	2018-07-26	3844	PRJNA481590	SAMN09684735
Haloplanus rubicundus		strain: CBA1113	1547898	ASM334269v1	GCA_003342695.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Complete Genome	3325235	3529327	2018-07-26	3592	PRJNA481607	SAMN09684805
Saliphagus sp. LR7		strain: LR7	2282654	ASM334456v1	GCA_003344565.1	GenBank		Contig	214392	4606068	2018-07-27		PRJNA482031	SAMN09694357
Halopelagius longus		strain: BC12-B1	1236180	ASM335106v1	GCA_003351065.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	197694	3878996	2018-07-31	3786	PRJNA482879	SAMN09717241
Halorussus rarus		strain: TBN4	660515	ASM336983v1	GCA_003369835.1	GenBank		Contig	1580738	4372177	2018-08-10		PRJNA482273	SAMN09702118
Halorussus litoreus		strain: HD8-51	1710536	ASM338268v1	GCA_003382685.1	GenBank		Scaffold	71285	3838315	2018-08-10		PRJNA477233	SAMN09463971
Haloferax sp. Atlit-19N		strain: Atlit-19N	2077201	ASM338298v1	GCA_003382985.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	604493	4019651	2018-08-13	4053	PRJNA431124	SAMN08382979
Haloferax sp. Atlit-24N		strain: Atlit-24N	2077200	ASM338300v1	GCA_003383005.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	1113134	3884197	2018-08-13	3928	PRJNA431124	SAMN08382980
Haloferax sp. Atlit-48N		strain: Atlit-48N	2077198	ASM338301v1	GCA_003383015.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	814938	3620173	2018-08-13	3632	PRJNA431124	SAMN08382982
Haloferax sp. Atlit-4N		strain: Atlit-4N	2077206	ASM338302v1	GCA_003383025.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	1263734	4176213	2018-08-13	4189	PRJNA431124	SAMN08382974
Haloferax sp. Atlit-47N		strain: Atlit-47N	2077199	ASM338306v1	GCA_003383065.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	729330	3813557	2018-08-13	3897	PRJNA431124	SAMN08382981
Haloferax sp. Atlit-16N		strain: Atlit-16N	2077202	ASM338308v1	GCA_003383085.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	1343055	3938222	2018-08-13	3949	PRJNA431124	SAMN08382978
Haloferax sp. Atlit-12N		strain: Atlit-12N	2077203	ASM338309v1	GCA_003383095.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	1233440	4012076	2018-08-13	4041	PRJNA431124	SAMN08382977
Haloferax sp. Atlit-6N		strain: Atlit-6N	2077205	ASM338319v1	GCA_003383195.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	621313	4366214	2018-08-13	4625	PRJNA431124	SAMN08382975
Natrarchaeobaculum sulfurireducens		strain: AArc-Mg	2044521	ASM343080v1	GCA_003430805.1	GenBank	Annotation submitted by C.N.R. - Institute for Coastal Marine Environment (IAMC)	Complete Genome	3617932	3853425	2018-08-28	3797	PRJNA429548	SAMN08348520
Natrarchaeobaculum sulfurireducens		strain: AArc1	2044521	ASM343082v1	GCA_003430825.1	GenBank	Annotation submitted by C.N.R. - Institute for Coastal Marine Environment (IAMC)	Complete Genome	3521804	3789323	2018-08-28	3768	PRJNA413731	SAMN07764453
Haloprofundus halophilus		strain: NK23	2283527	ASM343992v1	GCA_003439925.1	GenBank		Contig	1898473	3473342	2018-08-31		PRJNA482712	SAMN09711351
Halovenus sp.		isolate: B1Sed10_238R1	1954478	ASM355126v1	GCA_003551265.1	GenBank		Contig	9695	2911837	2018-09-12		PRJNA434545	SAMN08575248
Halorubrum sp.		isolate: B1Sed10_22	1879286	ASM355152v1	GCA_003551525.1	GenBank		Contig	8620	1111866	2018-09-12		PRJNA434545	SAMN08575234
Haloferacaceae archaeon		isolate: B1Sed10_198R1	2080321	ASM355172v1	GCA_003551725.1	GenBank		Contig	11367	3676701	2018-09-12		PRJNA434545	SAMN08575221
Halovenus sp.		isolate: B1Sed10_163	1954478	ASM355194v1	GCA_003551945.1	GenBank		Contig	13694	2427444	2018-09-12		PRJNA434545	SAMN08575203
Natrialbaceae archaeon		isolate: B1Sed10_146	2093806	ASM355204v1	GCA_003552045.1	GenBank		Contig	21667	2589362	2018-09-12		PRJNA434545	SAMN08575195
Haloferacaceae archaeon		isolate: B1Sed10_83	2080321	ASM355226v1	GCA_003552265.1	GenBank		Contig	11045	1611230	2018-09-12		PRJNA434545	SAMN08575297
Natrialbaceae archaeon		isolate: B1Sed10_80R1	2093806	ASM355232v1	GCA_003552325.1	GenBank		Contig	11527	2333376	2018-09-12		PRJNA434545	SAMN08575294
Halobacteriaceae archaeon		isolate: B1Sed10_164	1931997	ASM355270v1	GCA_003552705.1	GenBank		Contig	37590	1994861	2018-09-12		PRJNA434545	SAMN08575204
Natrialbaceae archaeon		isolate: B1Sed10_119R1	2093806	ASM355288v1	GCA_003552885.1	GenBank		Contig	7366	1700439	2018-09-12		PRJNA434545	SAMN08575176
Haloferacaceae archaeon		isolate: T1Sed10_55R1	2080321	ASM355411v1	GCA_003554115.1	GenBank		Contig	11187	1506249	2018-09-12		PRJNA434545	SAMN08575129
Halovenus sp.		isolate: T1Sed10_210R1	1954478	ASM355432v1	GCA_003554325.1	GenBank		Contig	5635	1990597	2018-09-12		PRJNA434545	SAMN08575107
Halorubrum sp.		isolate: T1Sed10_15	1879286	ASM355460v1	GCA_003554605.1	GenBank		Contig	14097	2502739	2018-09-12		PRJNA434545	SAMN08575087
Natrialbaceae archaeon		isolate: T1Sed10_128	2093806	ASM355488v1	GCA_003554885.1	GenBank		Contig	34797	3241072	2018-09-12		PRJNA434545	SAMN08575070
Natrialbaceae archaeon		isolate: T1Sed10_101	2093806	ASM355512v1	GCA_003555125.1	GenBank		Contig	9799	3004008	2018-09-12		PRJNA434545	SAMN08575053
Natrialbaceae archaeon		isolate: CSSed10_393R1	2093806	ASM355733v1	GCA_003557335.1	GenBank		Contig	4460	2677600	2018-09-13		PRJNA434545	SAMN08574590
Natrialbaceae archaeon		isolate: CSSed10_265	2093806	ASM355921v1	GCA_003559215.1	GenBank		Contig	41696	3941239	2018-09-13		PRJNA434545	SAMN08574522
Haloferax sp. Atlit-10N		strain: Atlit-10N	2077204	ASM358632v1	GCA_003586325.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	442787	4261349	2018-08-13	4376	PRJNA431124	SAMN08382976
Halococcus sp. IIIV-5B		strain: IIIV-5B	2321230	ASM360203v1	GCA_003602035.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	99920	3873359	2018-10-01	3895	PRJNA490534	SAMN10039696
Halonotius aquaticus		strain: F13-13	2216978	ASM360557v1	GCA_003605575.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	196849	2468392	2018-10-02	2541	PRJNA474712	SAMN09370719
Halonotius pteroides		strain: CECT 7525	268735	ASM360563v1	GCA_003605635.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	110919	3009688	2018-10-02	3090	PRJNA477535	SAMN09473900
Halopiger aswanensis		strain: DSM 13151	148449	ASM361019v1	GCA_003610195.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Scaffold	1426401	4865231	2018-10-02	4781	PRJNA303707	SAMN04488555
Haloarcula quadrata		strain: DSM 11927	182779	ASM363471v1	GCA_003634715.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Contig	3316360	4459149	2018-10-11	4715	PRJNA332792	SAMN05445701
Haloferax sp. Atlit-109R		strain: Atlit-109R	2282134	ASM366586v1	GCA_003665865.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	1594290	3879374	2018-10-17	3925	PRJNA431124	SAMN09668324
Haloarcula sp. Atlit-120R		strain: Atlit-120R	2282135	ASM366588v1	GCA_003665885.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	885072	4191453	2018-10-17	4315	PRJNA431124	SAMN09668325
Haloferax sp. Atlit-105R		strain: Atlit-105R	2282133	ASM366590v1	GCA_003665905.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	1113134	3888545	2018-10-17	3941	PRJNA431124	SAMN09668323
Halobellus sp. Atlit-38R		strain: Atlit-38R	2282131	ASM366592v1	GCA_003665925.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	294952	3871390	2018-10-17	4048	PRJNA431124	SAMN09668321
Halobellus sp. Atlit-31R		strain: Atlit-31R	2282130	ASM366593v1	GCA_003665935.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	519666	3548073	2018-10-17	3913	PRJNA431124	SAMN09668320
Halorubrum sp. Atlit-28R		strain: Atlit-28R	2282129	ASM366595v1	GCA_003665955.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	330128	3506786	2018-10-17	3632	PRJNA431124	SAMN09668319
Haloarcula sp. Atlit-47R		strain: Atlit-47R	2282132	ASM366598v1	GCA_003665985.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	890643	4133138	2018-10-17	4226	PRJNA431124	SAMN09668322
Halorubrum sp. Atlit-9R		strain: Atlit-9R	2282127	ASM366600v1	GCA_003666005.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	418015	3909350	2018-10-17	3995	PRJNA431124	SAMN09668317
Halorubrum sp. Atlit-26R		strain: Atlit-26R	2282128	ASM366601v1	GCA_003666015.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	181151	4140427	2018-10-17	4402	PRJNA431124	SAMN09668318
Halorubrum sp. Atlit-8R		strain: Atlit-8R	2282126	ASM366602v1	GCA_003666025.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	541462	3307149	2018-10-17	3341	PRJNA431124	SAMN09668316
Haloarcula sp. Atlit-7R		strain: Atlit-7R	2282125	ASM366606v1	GCA_003666065.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	343423	4544431	2018-10-17	4679	PRJNA431124	SAMN09668315
Natronorubrum halophilum		strain: SHR37	1702106	ASM367011v1	GCA_003670115.1	GenBank		Contig	1198422	4665679	2018-10-22		PRJNA482896	SAMN09717252
Halostella salina		strain: CBA1114	1547897	ASM367585v1	GCA_003675855.1	GenBank		Contig	375332	3735525	2018-10-22		PRJNA495149	SAMN10220147
Halostella limicola		strain: LT12	2448456	ASM367587v1	GCA_003675875.1	GenBank		Scaffold	1076643	4117014	2018-10-22		PRJNA494990	SAMN10187727
Haloplanus aerogenes		strain: CGMCC 1.10124	660522	ASM368871v1	GCA_003688715.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Scaffold	434723	3507307	2018-10-25	3696	PRJNA303463	SAMN04488064
Halalkalicoccus subterraneus		strain: GSM28	2675002	ASM369781v1	GCA_003697815.1	GenBank		Scaffold	59666	3610033	2018-10-30		PRJNA497354	SAMN10255636
Halobellus captivus		strain: ZY8	2592614	ASM369784v1	GCA_003697845.1	GenBank		Scaffold	192510	3592980	2018-10-30		PRJNA497350	SAMN10255630
Halarchaeum sp. CBA1220		strain: CBA1220	1853682	ASM372117v2	GCA_003721175.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1981916	3175875	2020-07-02	3220	PRJNA503943	SAMN10386251
Halorubrum sp. CBA1229		strain: CBA1229	1853699	ASM372143v2	GCA_003721435.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3218340	3582278	2020-06-24	3614	PRJNA503951	SAMN10386377
Salella cibi		strain: CBA1133	2487041	ASM372209v1	GCA_003722095.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	2349252	2661022	2018-11-12	2836	PRJNA503961	SAMN10386455
Halosimplex salinum		strain: YPL4	1710538	ASM373019v1	GCA_003730195.1	GenBank		Contig	581268	5072893	2018-11-15		PRJNA488153	SAMN09925649
Halorubrum sp. CSM-61		strain: CSM-61	2485838	ASM378194v1	GCA_003781945.1	GenBank		Contig	342485	3715460	2018-11-16		PRJNA501846	SAMN10346711
Natrarchaeobius chitinivorans		strain: AArcht7	1679083	ASM384146v1	GCA_003841465.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	300304	4614480	2018-11-26	4562	PRJNA494305	SAMN10160503
Natrarchaeobius halalkaliphilus		strain: AArcht-Sl	1679091	ASM384148v1	GCA_003841485.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	639802	3511219	2018-11-26	3474	PRJNA494305	SAMN10160504
Natrarchaeobius chitinivorans		strain: AArcht4T	1679083	ASM384150v1	GCA_003841505.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	170161	4566486	2018-11-26	4480	PRJNA494305	SAMN10160502
Haloplanus aerogenes		strain: JCM 16430	660522	ASM385683v1	GCA_003856835.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Complete Genome	3461954	3503092	2018-12-03	3600	PRJNA481613	SAMN09684815
Halocatena pleomorpha		strain: SPP-AMP-1	1785090	ASM386249v1	GCA_003862495.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Contig	116484	3654689	2018-12-04	3547	PRJNA507509	SAMN10496973
Haloterrigena salifodinae		strain: ZY19	2675099	ASM397775v1	GCA_003977755.1	GenBank		Scaffold	735057	4960699	2018-12-28		PRJNA506895	SAMN10475404
Halorubrum sp. PV6		strain: PV6	634157	ASM399072v2	GCA_003990725.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Complete Genome	2743692	3044466	2019-08-05	3034	PRJNA476066	SAMN09425686
Halomicrobium mukohataei		strain: ZP12-2	57705	ASM399237v1	GCA_003992375.1	GenBank		Contig	319607	3316667	2019-01-04		PRJNA511948	SAMN10653470
Haloarcula salaria		strain: ZP1-2	575195	ASM399242v1	GCA_003992425.1	GenBank		Contig	1184577	4111827	2019-01-04		PRJNA511945	SAMN10653466
Halobacteriaceae archaeon SHR40		strain: SHR40	2500550	ASM401582v1	GCA_004015825.1	GenBank		Scaffold	156813	3757505	2019-01-14		PRJNA513008	SAMN10691328
Halorussus pelagicus		strain: RC-68	2505977	ASM408783v1	GCA_004087835.1	GenBank		Complete Genome	3017361	3490924	2019-01-21		PRJNA514419	SAMN10724366
Halorubrum sp. BOL3-1		strain: BOL3-1	2497325	ASM411437v1	GCA_004114375.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Complete Genome	3374117	3668425	2019-01-25	3612	PRJNA412908	SAMN10600887
Halorubrum amylolyticum		strain: ZC67	2508724	ASM411499v1	GCA_004114995.1	GenBank		Scaffold	79952	3630756	2019-01-28		PRJNA516078	SAMN10782550
Halegenticoccus tardaugens		strain: SYSU A00711	2071624	ASM411640v1	GCA_004116405.1	GenBank		Contig	622716	4891127	2019-01-28		PRJNA432108	SAMN08348395
Halorientalis pallida		strain: F13-25	2479928	ASM411832v1	GCA_004118325.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	299868	4087668	2019-01-29	4132	PRJNA497075	SAMN10247356
Halorubrum ezzemoulense		strain: Fb21	337243	ASM412651v1	GCA_004126515.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Complete Genome	3062294	3726301	2019-02-01	3739	PRJNA513349	SAMN10709458
Halorussus amylolyticus		strain: YC93	1126242	ASM414348v2	GCA_004143485.2	GenBank		Scaffold	119991	3779259	2020-01-27		PRJNA510302	SAMN10601653
Haloarcula hispanica		strain: 18.1	51589	ASM415038v1	GCA_004150385.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	29927	3589827	2019-02-07	3667	PRJNA511758	SAMN10644066
Halogeometricum borinquense		strain: N11	60847	ASM415039v1	GCA_004150395.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	53238	4001775	2019-02-07	4042	PRJNA511755	SAMN10643321
Natrinema altunense		strain: 4.1R	222984	ASM420985v1	GCA_004209855.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	99213	3666078	2019-02-19	3664	PRJNA511745	SAMN10643274
Natrinema hispanicum		strain: DSM 18328	392421	ASM421733v1	GCA_004217335.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Contig	1073359	4256545	2019-02-20	4411	PRJNA332819	SAMN05443124
Halorussus marinus		strain: DLLS-82	2505976	ASM452189v1	GCA_004521895.1	GenBank		Contig	252402	3619661	2019-03-29		PRJNA514224	SAMN10721532
Halomicroarcula amylolytica		strain: LR21	2562280	ASM468118v1	GCA_004681185.1	GenBank		Scaffold	539826	5038561	2019-04-05		PRJNA529530	SAMN11269098
