gene_id	gene_length	DB	annotation	hit_start	hit_end	evalue	contig	orf
NZ_AOLZ01000012.1_1	135	PANTHER	BLL1576 PROTEIN	21	135	3.7e-16	NZ_AOLZ01000012.1	1
NZ_AOLZ01000012.1_140	168	Pfam	Hsp20/alpha crystallin family	20	110	9.4e-10	NZ_AOLZ01000012.1	140
NZ_AOLZ01000012.1_140	168	CDD	ACD_sHsps-like	18	106	7.86938e-18	NZ_AOLZ01000012.1	140
NZ_AOLZ01000012.1_140	168	SUPERFAMILY	HSP20-like chaperones	16	113	5.23e-18	NZ_AOLZ01000012.1	140
NZ_AOLZ01000012.1_156	214	SFLD	Haloacid Dehalogenase	8	209	2.9e-14	NZ_AOLZ01000012.1	156
NZ_AOLZ01000012.1_156	214	PANTHER	PHOSPHOGLYCOLATE PHOSPHATASE	7	210	6.7e-17	NZ_AOLZ01000012.1	156
NZ_AOLZ01000012.1_156	214	Pfam	Haloacid dehalogenase-like hydrolase	9	184	7.3e-09	NZ_AOLZ01000012.1	156
NZ_AOLZ01000012.1_156	214	SFLD	C1.5: HAD, Beta-PGM, Phosphatase Like	8	209	2.9e-14	NZ_AOLZ01000012.1	156
NZ_AOLZ01000012.1_156	214	SUPERFAMILY	HAD-like	2	208	6.53e-27	NZ_AOLZ01000012.1	156
NZ_AOLZ01000012.1_133	368	CDD	AAT_like	39	363	3.96206e-66	NZ_AOLZ01000012.1	133
NZ_AOLZ01000012.1_133	368	Gene3D	Aspartate Aminotransferase, domain 1	37	359	3.2e-85	NZ_AOLZ01000012.1	133
NZ_AOLZ01000012.1_133	368	PANTHER	AMINOTRANSFERASE FUNCTION, HYPOTHETICAL (EUROFUNG)	1	367	9.4e-81	NZ_AOLZ01000012.1	133
NZ_AOLZ01000012.1_133	368	Pfam	Aminotransferase class I and II	42	361	2.7e-39	NZ_AOLZ01000012.1	133
NZ_AOLZ01000012.1_133	368	SUPERFAMILY	PLP-dependent transferases	39	366	9.74e-72	NZ_AOLZ01000012.1	133
NZ_AOLZ01000012.1_6	185	Pfam	DoxX	30	121	3.2e-06	NZ_AOLZ01000012.1	6
NZ_AOLZ01000012.1_189	264	Gene3D	alpha/beta hydrolase	14	260	1.6e-44	NZ_AOLZ01000012.1	189
NZ_AOLZ01000012.1_189	264	PRINTS	Epoxide hydrolase signature	49	64	2.7e-06	NZ_AOLZ01000012.1	189
NZ_AOLZ01000012.1_189	264	PRINTS	Epoxide hydrolase signature	235	257	2.7e-06	NZ_AOLZ01000012.1	189
NZ_AOLZ01000012.1_189	264	PANTHER	HYDROLASE ALPHA/BETA FOLD FAMILY	23	261	4.4e-22	NZ_AOLZ01000012.1	189
NZ_AOLZ01000012.1_189	264	Pfam	Alpha/beta hydrolase family	26	251	2.7e-24	NZ_AOLZ01000012.1	189
NZ_AOLZ01000012.1_189	264	SUPERFAMILY	alpha/beta-Hydrolases	16	260	1.34e-41	NZ_AOLZ01000012.1	189
NZ_AOLZ01000012.1_189	264	PRINTS	Alpha/beta hydrolase fold signature	49	64	2.2e-10	NZ_AOLZ01000012.1	189
NZ_AOLZ01000012.1_189	264	PRINTS	Alpha/beta hydrolase fold signature	91	104	2.2e-10	NZ_AOLZ01000012.1	189
NZ_AOLZ01000012.1_189	264	PRINTS	Alpha/beta hydrolase fold signature	105	118	2.2e-10	NZ_AOLZ01000012.1	189
NZ_AOLZ01000012.1_189	264	PRINTS	Alpha/beta hydrolase fold signature	206	220	2.2e-10	NZ_AOLZ01000012.1	189
NZ_AOLZ01000012.1_93	90	CDD	RHH_NikR_HicB-like	14	50	3.99792e-13	NZ_AOLZ01000012.1	93
NZ_AOLZ01000012.1_93	90	PANTHER	NICKEL-RESPONSIVE REGULATOR	11	55	2.9e-11	NZ_AOLZ01000012.1	93
NZ_AOLZ01000012.1_93	90	SUPERFAMILY	Ribbon-helix-helix	12	52	5.08e-11	NZ_AOLZ01000012.1	93
NZ_AOLZ01000012.1_93	90	Pfam	Ribbon-helix-helix protein, copG family	16	50	5.1e-09	NZ_AOLZ01000012.1	93
NZ_AOLZ01000012.1_163	314	SUPERFAMILY	Undecaprenyl diphosphate synthase	22	251	3.27e-72	NZ_AOLZ01000012.1	163
NZ_AOLZ01000012.1_163	314	Pfam	Putative undecaprenyl diphosphate synthase	31	252	1.2e-65	NZ_AOLZ01000012.1	163
NZ_AOLZ01000012.1_163	314	PANTHER	DEHYDRODOLICHYL DIPHOSPHATE SYNTHASE FAMILY MEMBER	20	251	1e-68	NZ_AOLZ01000012.1	163
NZ_AOLZ01000012.1_163	314	NCBIfam	polyprenyl diphosphate synthase	25	253	3.9e-71	NZ_AOLZ01000012.1	163
NZ_AOLZ01000012.1_163	314	CDD	Cis_IPPS	27	247	7.73882e-101	NZ_AOLZ01000012.1	163
NZ_AOLZ01000012.1_206	411	SUPERFAMILY	FAD/NAD(P)-binding domain	3	311	3.08e-39	NZ_AOLZ01000012.1	206
NZ_AOLZ01000012.1_206	411	PRINTS	Pyridine nucleotide disulphide reductase class-I signature	3	25	7.9e-09	NZ_AOLZ01000012.1	206
NZ_AOLZ01000012.1_206	411	PRINTS	Pyridine nucleotide disulphide reductase class-I signature	144	169	7.9e-09	NZ_AOLZ01000012.1	206
NZ_AOLZ01000012.1_206	411	PRINTS	Pyridine nucleotide disulphide reductase class-I signature	271	278	7.9e-09	NZ_AOLZ01000012.1	206
NZ_AOLZ01000012.1_206	411	Pfam	Rubredoxin NAD+ reductase C-terminal domain	330	386	5.9e-08	NZ_AOLZ01000012.1	206
NZ_AOLZ01000012.1_206	411	PRINTS	FAD-dependent pyridine nucleotide reductase signature	4	23	2.8e-22	NZ_AOLZ01000012.1	206
NZ_AOLZ01000012.1_206	411	PRINTS	FAD-dependent pyridine nucleotide reductase signature	99	117	2.8e-22	NZ_AOLZ01000012.1	206
NZ_AOLZ01000012.1_206	411	PRINTS	FAD-dependent pyridine nucleotide reductase signature	144	162	2.8e-22	NZ_AOLZ01000012.1	206
NZ_AOLZ01000012.1_206	411	PRINTS	FAD-dependent pyridine nucleotide reductase signature	231	247	2.8e-22	NZ_AOLZ01000012.1	206
NZ_AOLZ01000012.1_206	411	PRINTS	FAD-dependent pyridine nucleotide reductase signature	256	278	2.8e-22	NZ_AOLZ01000012.1	206
NZ_AOLZ01000012.1_206	411	PANTHER	PYRIDINE NUCLEOTIDE-DISULFIDE OXIDOREDUCTASE DOMAIN-CONTAINING	1	405	2.7e-89	NZ_AOLZ01000012.1	206
NZ_AOLZ01000012.1_206	411	Pfam	Pyridine nucleotide-disulphide oxidoreductase	3	289	4.2e-47	NZ_AOLZ01000012.1	206
NZ_AOLZ01000012.1_206	411	SUPERFAMILY	FAD/NAD(P)-binding domain	114	239	9.06e-14	NZ_AOLZ01000012.1	206
NZ_AOLZ01000012.1_104	434	Pfam	Domain of unknown function (DUF362)	73	227	9e-06	NZ_AOLZ01000012.1	104
NZ_AOLZ01000012.1_134	369	CDD	CobW-like	5	219	3.42777e-77	NZ_AOLZ01000012.1	134
NZ_AOLZ01000012.1_134	369	SUPERFAMILY	P-loop containing nucleoside triphosphate hydrolases	3	234	2.89e-30	NZ_AOLZ01000012.1	134
NZ_AOLZ01000012.1_134	369	PANTHER	COBW DOMAIN-CONTAINING PROTEIN DDB_G0274527	2	358	3.6e-96	NZ_AOLZ01000012.1	134
NZ_AOLZ01000012.1_134	369	Pfam	CobW/HypB/UreG, nucleotide-binding domain	5	201	3.3e-50	NZ_AOLZ01000012.1	134
NZ_AOLZ01000012.1_134	369	SUPERFAMILY	Hypothetical protein YjiA, C-terminal domain	263	353	1.44e-22	NZ_AOLZ01000012.1	134
NZ_AOLZ01000012.1_134	369	SMART	CobW_C_3	263	353	3.3e-37	NZ_AOLZ01000012.1	134
NZ_AOLZ01000012.1_134	369	Pfam	Cobalamin synthesis protein cobW C-terminal domain	263	353	4.2e-27	NZ_AOLZ01000012.1	134
NZ_AOLZ01000012.1_98	140	PANTHER	UNIVERSAL STRESS PROTEIN SLR1230	14	136	1.5e-10	NZ_AOLZ01000012.1	98
NZ_AOLZ01000012.1_98	140	SUPERFAMILY	Adenine nucleotide alpha hydrolases-like	1	136	1.51e-19	NZ_AOLZ01000012.1	98
NZ_AOLZ01000012.1_98	140	CDD	USP_Like	3	136	2.06909e-16	NZ_AOLZ01000012.1	98
NZ_AOLZ01000012.1_98	140	Pfam	Universal stress protein family	2	136	4.7e-20	NZ_AOLZ01000012.1	98
NZ_AOLZ01000012.1_98	140	Gene3D	HUPs	1	138	9.2e-22	NZ_AOLZ01000012.1	98
NZ_AOLZ01000012.1_160	237	Pfam	Putative NAD(P)-binding	6	120	7.6e-22	NZ_AOLZ01000012.1	160
NZ_AOLZ01000012.1_160	237	SUPERFAMILY	Siroheme synthase middle domains-like	129	226	3.53e-17	NZ_AOLZ01000012.1	160
NZ_AOLZ01000012.1_160	237	SUPERFAMILY	NAD(P)-binding Rossmann-fold domains	1	115	2.41e-12	NZ_AOLZ01000012.1	160
NZ_AOLZ01000012.1_160	237	PANTHER	SIROHEME BIOSYNTHESIS PROTEIN MET8	2	224	1.9e-35	NZ_AOLZ01000012.1	160
NZ_AOLZ01000012.1_160	237	Gene3D	Siroheme synthase; domain 2	128	162	9.5e-12	NZ_AOLZ01000012.1	160
NZ_AOLZ01000012.1_160	237	NCBIfam	siroheme synthase, N-terminal domain	3	193	3e-23	NZ_AOLZ01000012.1	160
NZ_AOLZ01000012.1_54	120	PANTHER	ABC TRANSPORTER PERMEASE	56	109	9e-10	NZ_AOLZ01000012.1	54
NZ_AOLZ01000012.1_54	120	Pfam	ABC-2 family transporter protein	5	109	7.1e-16	NZ_AOLZ01000012.1	54
NZ_AOLZ01000012.1_175	517	PANTHER	SODIUM/PROLINE SYMPORTER-RELATED	7	505	2.4e-73	NZ_AOLZ01000012.1	175
NZ_AOLZ01000012.1_175	517	Gene3D	Sodium/glucose cotransporter	10	513	7.3e-80	NZ_AOLZ01000012.1	175
NZ_AOLZ01000012.1_175	517	CDD	SLC5sbd	5	467	5.91809e-64	NZ_AOLZ01000012.1	175
NZ_AOLZ01000012.1_175	517	Pfam	Sodium:solute symporter family	35	426	7.5e-43	NZ_AOLZ01000012.1	175
NZ_AOLZ01000012.1_36	312	Pfam	MCM OB domain	85	203	9e-17	NZ_AOLZ01000012.1	36
NZ_AOLZ01000012.1_36	312	SUPERFAMILY	Nucleic acid-binding proteins	23	217	6.68e-27	NZ_AOLZ01000012.1	36
NZ_AOLZ01000012.1_36	312	FunFam	DNA helicase	109	156	1.4e-07	NZ_AOLZ01000012.1	36
NZ_AOLZ01000012.1_36	312	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	67	225	1.6e-21	NZ_AOLZ01000012.1	36
NZ_AOLZ01000012.1_174	77	Pfam	Protein of unknown function (DUF3311)	9	67	1.1e-13	NZ_AOLZ01000012.1	174
NZ_AOLZ01000012.1_97	413	PANTHER	THREONINE DEHYDRATASE, MITOCHONDRIAL-RELATED	83	382	2.7e-34	NZ_AOLZ01000012.1	97
NZ_AOLZ01000012.1_97	413	Pfam	Pyridoxal-phosphate dependent enzyme	82	381	1.5e-70	NZ_AOLZ01000012.1	97
NZ_AOLZ01000012.1_97	413	SUPERFAMILY	Tryptophan synthase beta subunit-like PLP-dependent enzymes	4	386	7.99e-82	NZ_AOLZ01000012.1	97
NZ_AOLZ01000012.1_97	413	CDD	Thr-synth_1	60	385	2.32333e-107	NZ_AOLZ01000012.1	97
NZ_AOLZ01000012.1_97	413	NCBIfam	threonine synthase	60	385	1.5e-52	NZ_AOLZ01000012.1	97
NZ_AOLZ01000012.1_147	244	Pfam	Binding-protein-dependent transport system inner membrane component	43	224	1.8e-11	NZ_AOLZ01000012.1	147
NZ_AOLZ01000012.1_147	244	SUPERFAMILY	MetI-like	15	228	1.7e-32	NZ_AOLZ01000012.1	147
NZ_AOLZ01000012.1_147	244	PANTHER	PERMEASE COMPONENT OF TUNGSTATE ABC TRANSPORTER	21	226	9.5e-58	NZ_AOLZ01000012.1	147
NZ_AOLZ01000012.1_147	244	NCBIfam	ABC transporter permease	27	215	7.7e-62	NZ_AOLZ01000012.1	147
NZ_AOLZ01000012.1_157	143	NCBIfam	LWR-salt protein	5	138	3.6e-45	NZ_AOLZ01000012.1	157
NZ_AOLZ01000012.1_194	260	Pfam	ABC-2 family transporter protein	15	259	3.8e-11	NZ_AOLZ01000012.1	194
NZ_AOLZ01000012.1_137	391	Pfam	Alcohol dehydrogenase GroES-like domain	27	142	8.8e-28	NZ_AOLZ01000012.1	137
NZ_AOLZ01000012.1_137	391	SUPERFAMILY	NAD(P)-binding Rossmann-fold domains	155	354	8.17e-61	NZ_AOLZ01000012.1	137
NZ_AOLZ01000012.1_137	391	Pfam	Zinc-binding dehydrogenase	187	257	1.8e-08	NZ_AOLZ01000012.1	137
NZ_AOLZ01000012.1_137	391	PANTHER	ZINC-TYPE ALCOHOL DEHYDROGENASE-LIKE	2	391	1.1e-126	NZ_AOLZ01000012.1	137
NZ_AOLZ01000012.1_137	391	CDD	PFDH_like	3	391	0	NZ_AOLZ01000012.1	137
NZ_AOLZ01000012.1_137	391	Pfam	Alcohol dehydrogenase GroES-associated	3	25	2.5e-10	NZ_AOLZ01000012.1	137
NZ_AOLZ01000012.1_137	391	SUPERFAMILY	GroES-like	3	187	2.11e-61	NZ_AOLZ01000012.1	137
NZ_AOLZ01000012.1_51	624	Pfam	ABC-2 family transporter protein	6	286	2.6e-16	NZ_AOLZ01000012.1	51
NZ_AOLZ01000012.1_51	624	Pfam	ABC-2 family transporter protein	333	621	8.5e-12	NZ_AOLZ01000012.1	51
NZ_AOLZ01000012.1_51	624	PANTHER	ABC TRANSPORTER PERMEASE	58	287	5e-12	NZ_AOLZ01000012.1	51
NZ_AOLZ01000012.1_145	267	Pfam	TOBE domain	222	251	1e-06	NZ_AOLZ01000012.1	145
NZ_AOLZ01000012.1_145	267	SUPERFAMILY	"""Winged helix"" DNA-binding domain"	23	112	8.84e-17	NZ_AOLZ01000012.1	145
NZ_AOLZ01000012.1_145	267	Pfam	Bacterial regulatory helix-turn-helix protein, lysR family	30	92	2.5e-08	NZ_AOLZ01000012.1	145
NZ_AOLZ01000012.1_145	267	PANTHER	TRANSCRIPTIONAL REGULATOR MODE	23	243	2e-16	NZ_AOLZ01000012.1	145
NZ_AOLZ01000012.1_145	267	SUPERFAMILY	MOP-like	170	252	6.68e-10	NZ_AOLZ01000012.1	145
NZ_AOLZ01000012.1_146	277	SUPERFAMILY	P-loop containing nucleoside triphosphate hydrolases	21	263	2.61e-65	NZ_AOLZ01000012.1	146
NZ_AOLZ01000012.1_146	277	Pfam	ABC transporter	39	200	6.8e-34	NZ_AOLZ01000012.1	146
NZ_AOLZ01000012.1_146	277	CDD	ABC_PstB_phosphate_transporter	23	258	3.17193e-80	NZ_AOLZ01000012.1	146
NZ_AOLZ01000012.1_146	277	PANTHER	ABC TRANSPORTER I FAMILY MEMBER 17	16	274	1e-62	NZ_AOLZ01000012.1	146
NZ_AOLZ01000012.1_146	277	SMART	AAA_5	47	247	1.1e-16	NZ_AOLZ01000012.1	146
NZ_AOLZ01000012.1_181	115	Pfam	Helix-turn-helix domain	8	61	2.8e-06	NZ_AOLZ01000012.1	181
NZ_AOLZ01000012.1_181	115	CDD	HTH_ARSR	11	89	8.07703e-06	NZ_AOLZ01000012.1	181
NZ_AOLZ01000012.1_181	115	SUPERFAMILY	"""Winged helix"" DNA-binding domain"	7	79	2.78e-11	NZ_AOLZ01000012.1	181
NZ_AOLZ01000012.1_102	262	FunFam	Short-chain dehydrogenase reductase	1	261	4.7e-54	NZ_AOLZ01000012.1	102
NZ_AOLZ01000012.1_102	262	Pfam	Enoyl-(Acyl carrier protein) reductase	17	258	2.1e-48	NZ_AOLZ01000012.1	102
NZ_AOLZ01000012.1_102	262	SUPERFAMILY	NAD(P)-binding Rossmann-fold domains	6	257	1.49e-66	NZ_AOLZ01000012.1	102
NZ_AOLZ01000012.1_102	262	PRINTS	Glucose/ribitol dehydrogenase family signature	9	26	5e-25	NZ_AOLZ01000012.1	102
NZ_AOLZ01000012.1_102	262	PRINTS	Glucose/ribitol dehydrogenase family signature	84	95	5e-25	NZ_AOLZ01000012.1	102
NZ_AOLZ01000012.1_102	262	PRINTS	Glucose/ribitol dehydrogenase family signature	131	147	5e-25	NZ_AOLZ01000012.1	102
NZ_AOLZ01000012.1_102	262	PRINTS	Glucose/ribitol dehydrogenase family signature	157	176	5e-25	NZ_AOLZ01000012.1	102
NZ_AOLZ01000012.1_102	262	PRINTS	Glucose/ribitol dehydrogenase family signature	177	194	5e-25	NZ_AOLZ01000012.1	102
NZ_AOLZ01000012.1_102	262	PRINTS	Glucose/ribitol dehydrogenase family signature	221	241	5e-25	NZ_AOLZ01000012.1	102
NZ_AOLZ01000012.1_102	262	PANTHER	3-OXOACYL-(ACYL-CARRIER-PROTEIN) REDUCTASE	4	258	1.1e-58	NZ_AOLZ01000012.1	102
NZ_AOLZ01000012.1_102	262	CDD	BKR_like_SDR_like	7	258	5.3839e-89	NZ_AOLZ01000012.1	102
NZ_AOLZ01000012.1_209	456	Pfam	Polysulphide reductase, NrfD	71	388	3.5e-18	NZ_AOLZ01000012.1	209
NZ_AOLZ01000012.1_46	380	Gene3D	Intergrase catalytic core	138	379	4.8e-25	NZ_AOLZ01000012.1	46
NZ_AOLZ01000012.1_46	380	Pfam	Phage integrase family	148	366	2.5e-12	NZ_AOLZ01000012.1	46
NZ_AOLZ01000012.1_46	380	SUPERFAMILY	DNA breaking-rejoining enzymes	29	374	5e-28	NZ_AOLZ01000012.1	46
NZ_AOLZ01000012.1_46	380	CDD	DNA_BRE_C	168	359	2.48785e-13	NZ_AOLZ01000012.1	46
NZ_AOLZ01000012.1_203	911	PANTHER	METHYL-ACCEPTING CHEMOTAXIS PROTEIN MCPB	25	412	6.4e-74	NZ_AOLZ01000012.1	203
NZ_AOLZ01000012.1_203	911	SMART	HAMP_11	325	377	2.7e-09	NZ_AOLZ01000012.1	203
NZ_AOLZ01000012.1_203	911	SMART	HAMP_11	398	454	9.6e-07	NZ_AOLZ01000012.1	203
NZ_AOLZ01000012.1_203	911	SUPERFAMILY	Methyl-accepting chemotaxis protein (MCP) signaling domain	418	759	9.16e-47	NZ_AOLZ01000012.1	203
NZ_AOLZ01000012.1_203	911	PRINTS	Bacterial chemotaxis sensory transducer signature	511	540	5.1e-07	NZ_AOLZ01000012.1	203
NZ_AOLZ01000012.1_203	911	PRINTS	Bacterial chemotaxis sensory transducer signature	612	641	5.1e-07	NZ_AOLZ01000012.1	203
NZ_AOLZ01000012.1_203	911	PRINTS	Bacterial chemotaxis sensory transducer signature	660	689	5.1e-07	NZ_AOLZ01000012.1	203
NZ_AOLZ01000012.1_203	911	Pfam	Methyl-accepting chemotaxis protein (MCP) signalling domain	528	712	1.8e-28	NZ_AOLZ01000012.1	203
NZ_AOLZ01000012.1_203	911	SUPERFAMILY	HAMP domain-like	329	376	2.35e-06	NZ_AOLZ01000012.1	203
NZ_AOLZ01000012.1_203	911	CDD	MCP_signal	512	711	2.00556e-47	NZ_AOLZ01000012.1	203
NZ_AOLZ01000012.1_203	911	Pfam	HAMP domain	323	374	9.1e-08	NZ_AOLZ01000012.1	203
NZ_AOLZ01000012.1_203	911	SMART	MA_2	483	760	5.6e-71	NZ_AOLZ01000012.1	203
NZ_AOLZ01000012.1_203	911	CDD	HAMP	331	372	7.4234e-07	NZ_AOLZ01000012.1	203
NZ_AOLZ01000012.1_149	247	PANTHER	DIMETHYL SULFOXIDE REDUCTASE TRANSCRIPTIONAL ACTIVATOR	66	244	2e-20	NZ_AOLZ01000012.1	149
NZ_AOLZ01000012.1_149	247	Pfam	HTH DNA binding domain	192	243	1.5e-19	NZ_AOLZ01000012.1	149
NZ_AOLZ01000012.1_60	258	Pfam	Carbohydrate kinase	22	254	3.3e-35	NZ_AOLZ01000012.1	60
NZ_AOLZ01000012.1_60	258	CDD	YXKO-related	18	254	4.71925e-47	NZ_AOLZ01000012.1	60
NZ_AOLZ01000012.1_60	258	NCBIfam	NAD(P)H-hydrate dehydratase	18	257	2e-42	NZ_AOLZ01000012.1	60
NZ_AOLZ01000012.1_60	258	SUPERFAMILY	Ribokinase-like	18	256	4.26e-40	NZ_AOLZ01000012.1	60
NZ_AOLZ01000012.1_60	258	PANTHER	ATP-DEPENDENT (S)-NAD(P)H-HYDRATE DEHYDRATASE FAMILY MEMBER	18	257	1.3e-25	NZ_AOLZ01000012.1	60
NZ_AOLZ01000012.1_66	399	PRINTS	GTP1/OBG GTP-binding protein family signature	7	27	1.4e-27	NZ_AOLZ01000012.1	66
NZ_AOLZ01000012.1_66	399	PRINTS	GTP1/OBG GTP-binding protein family signature	28	46	1.4e-27	NZ_AOLZ01000012.1	66
NZ_AOLZ01000012.1_66	399	PRINTS	GTP1/OBG GTP-binding protein family signature	79	94	1.4e-27	NZ_AOLZ01000012.1	66
NZ_AOLZ01000012.1_66	399	PRINTS	GTP1/OBG GTP-binding protein family signature	96	114	1.4e-27	NZ_AOLZ01000012.1	66
NZ_AOLZ01000012.1_66	399	Pfam	50S ribosome-binding GTPase	6	126	4.2e-18	NZ_AOLZ01000012.1	66
NZ_AOLZ01000012.1_66	399	SUPERFAMILY	P-loop containing nucleoside triphosphate hydrolases	5	288	1.48e-62	NZ_AOLZ01000012.1	66
NZ_AOLZ01000012.1_66	399	SUPERFAMILY	TGS-like	339	397	1.96e-14	NZ_AOLZ01000012.1	66
NZ_AOLZ01000012.1_66	399	Pfam	GTPase of unknown function C-terminal	224	328	3.6e-32	NZ_AOLZ01000012.1	66
NZ_AOLZ01000012.1_66	399	Pfam	TGS domain	348	397	2.1e-07	NZ_AOLZ01000012.1	66
NZ_AOLZ01000012.1_66	399	PANTHER	OBG GTPASE FAMILY	2	376	2.1e-63	NZ_AOLZ01000012.1	66
NZ_AOLZ01000012.1_66	399	CDD	Ygr210	7	321	0	NZ_AOLZ01000012.1	66
NZ_AOLZ01000012.1_63	272	SUPERFAMILY	"""Winged helix"" DNA-binding domain"	7	106	2.6e-09	NZ_AOLZ01000012.1	63
NZ_AOLZ01000012.1_63	272	Pfam	Sugar-specific transcriptional regulator TrmB	14	79	6.5e-21	NZ_AOLZ01000012.1	63
NZ_AOLZ01000012.1_63	272	PANTHER	HTH-TYPE TRANSCRIPTIONAL REGULATOR TRMBL2	6	171	2.8e-31	NZ_AOLZ01000012.1	63
NZ_AOLZ01000012.1_5	338	Pfam	PAS domain	11	114	7.2e-10	NZ_AOLZ01000012.1	5
NZ_AOLZ01000012.1_5	338	Gene3D	PAS domain	5	127	2.8e-20	NZ_AOLZ01000012.1	5
NZ_AOLZ01000012.1_5	338	CDD	PAS	11	95	5.185e-10	NZ_AOLZ01000012.1	5
NZ_AOLZ01000012.1_5	338	SMART	HKATPase_4	227	337	1.1e-09	NZ_AOLZ01000012.1	5
NZ_AOLZ01000012.1_5	338	Pfam	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	230	336	1.2e-11	NZ_AOLZ01000012.1	5
NZ_AOLZ01000012.1_5	338	NCBIfam	PAS domain S-box protein	8	120	1e-16	NZ_AOLZ01000012.1	5
NZ_AOLZ01000012.1_5	338	PANTHER	PHOSPHATE REGULON SENSOR PROTEIN PHOR	90	336	1.6e-12	NZ_AOLZ01000012.1	5
NZ_AOLZ01000012.1_5	338	SUPERFAMILY	ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase	190	334	2.36e-17	NZ_AOLZ01000012.1	5
NZ_AOLZ01000012.1_5	338	SUPERFAMILY	PYP-like sensor domain (PAS domain)	6	114	9.6e-19	NZ_AOLZ01000012.1	5
NZ_AOLZ01000012.1_109	349	SUPERFAMILY	Periplasmic binding protein-like II	37	333	1.36e-29	NZ_AOLZ01000012.1	109
NZ_AOLZ01000012.1_109	349	PANTHER	SLL1037 PROTEIN	36	331	5.7e-17	NZ_AOLZ01000012.1	109
NZ_AOLZ01000012.1_109	349	NCBIfam	TAXI family TRAP transporter solute-binding subunit	17	331	1.8e-33	NZ_AOLZ01000012.1	109
NZ_AOLZ01000012.1_109	349	Pfam	NMT1-like family	39	331	4.2e-27	NZ_AOLZ01000012.1	109
NZ_AOLZ01000012.1_72	614	PANTHER	INNER MEMBRANE PEPTIDE TRANSPORTER	5	587	0	NZ_AOLZ01000012.1	72
NZ_AOLZ01000012.1_72	614	Pfam	Carbon starvation protein CstA	5	387	2.1e-108	NZ_AOLZ01000012.1	72
NZ_AOLZ01000012.1_72	614	Pfam	5TM C-terminal transporter carbon starvation CstA	421	537	1.4e-34	NZ_AOLZ01000012.1	72
NZ_AOLZ01000012.1_178	267	Pfam	Putative sensor	48	253	2.4e-39	NZ_AOLZ01000012.1	178
NZ_AOLZ01000012.1_76	419	PANTHER	COBW DOMAIN-CONTAINING PROTEIN DDB_G0274527	4	402	6.9e-101	NZ_AOLZ01000012.1	76
NZ_AOLZ01000012.1_76	419	CDD	CobW-like	8	222	1.45591e-70	NZ_AOLZ01000012.1	76
NZ_AOLZ01000012.1_76	419	SUPERFAMILY	P-loop containing nucleoside triphosphate hydrolases	8	239	4.6e-31	NZ_AOLZ01000012.1	76
NZ_AOLZ01000012.1_76	419	Pfam	CobW/HypB/UreG, nucleotide-binding domain	8	205	1.3e-49	NZ_AOLZ01000012.1	76
NZ_AOLZ01000012.1_76	419	SMART	CobW_C_3	277	389	1.3e-38	NZ_AOLZ01000012.1	76
NZ_AOLZ01000012.1_76	419	SUPERFAMILY	Hypothetical protein YjiA, C-terminal domain	277	389	2.35e-18	NZ_AOLZ01000012.1	76
NZ_AOLZ01000012.1_76	419	Pfam	Cobalamin synthesis protein cobW C-terminal domain	277	389	3.7e-25	NZ_AOLZ01000012.1	76
NZ_AOLZ01000012.1_56	223	Pfam	ERCC4 domain	21	129	1e-07	NZ_AOLZ01000012.1	56
NZ_AOLZ01000012.1_56	223	SUPERFAMILY	RuvA domain 2-like	152	214	8.9e-12	NZ_AOLZ01000012.1	56
NZ_AOLZ01000012.1_56	223	Pfam	Helix-hairpin-helix domain	166	212	1.8e-10	NZ_AOLZ01000012.1	56
NZ_AOLZ01000012.1_56	223	SUPERFAMILY	Restriction endonuclease-like	3	124	3.75e-11	NZ_AOLZ01000012.1	56
NZ_AOLZ01000012.1_110	687	PANTHER	BLL3936 PROTEIN	16	674	5.2e-88	NZ_AOLZ01000012.1	110
NZ_AOLZ01000012.1_110	687	Pfam	Tripartite ATP-independent periplasmic transporter, DctM component	123	595	1.5e-46	NZ_AOLZ01000012.1	110
NZ_AOLZ01000012.1_110	687	NCBIfam	TRAP transporter fused permease subunit	26	673	2.2e-111	NZ_AOLZ01000012.1	110
NZ_AOLZ01000012.1_142	166	Pfam	Short C-terminal domain	89	115	3.5e-08	NZ_AOLZ01000012.1	142
NZ_AOLZ01000012.1_101	116	SUPERFAMILY	RmlC-like cupins	6	105	5.16e-25	NZ_AOLZ01000012.1	101
NZ_AOLZ01000012.1_101	116	Gene3D	Jelly Rolls	1	111	1.6e-25	NZ_AOLZ01000012.1	101
NZ_AOLZ01000012.1_101	116	PANTHER	H2HPP ISOMERASE	4	107	3.5e-10	NZ_AOLZ01000012.1	101
NZ_AOLZ01000012.1_101	116	Pfam	Cupin domain	35	102	1.8e-17	NZ_AOLZ01000012.1	101
NZ_AOLZ01000012.1_138	359	SUPERFAMILY	Enolase C-terminal domain-like	161	335	2.58e-19	NZ_AOLZ01000012.1	138
NZ_AOLZ01000012.1_184	219	Pfam	Putative sensor	38	212	1.5e-26	NZ_AOLZ01000012.1	184
NZ_AOLZ01000012.1_177	312	Pfam	Family of unknown function (DUF6293)	3	171	1.9e-36	NZ_AOLZ01000012.1	177
