V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ORF
WP_049895738.1,418,Coils,Coil,Coil,387,411,-,-,-,ORF23
WP_049895738.1,418,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,4,15,-,-,-,ORF23
WP_049895738.1,418,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,3,-,-,-,ORF23
WP_049895738.1,418,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,224,246,-,-,-,ORF23
WP_049895738.1,418,Coils,Coil,Coil,259,293,-,-,-,ORF23
WP_226043403.1,419,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,4,-,-,-,ORF23
WP_226043403.1,419,Coils,Coil,Coil,261,288,-,-,-,ORF23
WP_226043403.1,419,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,17,26,-,-,-,ORF23
WP_226043403.1,419,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,225,251,-,-,-,ORF23
WP_226043403.1,419,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",27,224,-,-,-,ORF23
WP_226043403.1,419,Coils,Coil,Coil,386,413,-,-,-,ORF23
WP_226043403.1,419,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,26,-,-,-,ORF23
WP_226043403.1,419,MobiDBLite,mobidb-lite,consensus disorder prediction,45,65,-,-,-,ORF23
WP_226043403.1,419,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,226,248,-,-,-,ORF23
WP_226043403.1,419,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,26,-,-,-,ORF23
WP_226043403.1,419,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",252,419,-,-,-,ORF23
WP_226043403.1,419,MobiDBLite,mobidb-lite,consensus disorder prediction,45,64,-,-,-,ORF23
WP_226043403.1,419,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,26,-,-,-,ORF23
WP_226043403.1,419,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,22,-,-,-,ORF23
WP_226043403.1,419,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,5,16,-,-,-,ORF23
WP_226043403.1,419,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,5,27,-,-,-,ORF23
WP_006665487.1,412,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,4,-,-,-,ORF23
WP_006665487.1,412,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,5,15,-,-,-,ORF23
WP_006665487.1,412,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",244,412,-,-,-,ORF23
WP_006665487.1,412,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,23,-,-,-,ORF23
WP_006665487.1,412,Coils,Coil,Coil,381,401,-,-,-,ORF23
WP_006665487.1,412,Coils,Coil,Coil,253,287,-,-,-,ORF23
WP_006665487.1,412,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,33,-,-,-,ORF23
WP_006665487.1,412,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,218,240,-,-,-,ORF23
WP_006665487.1,412,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,16,33,-,-,-,ORF23
WP_006665487.1,412,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",34,217,-,-,-,ORF23
WP_006665487.1,412,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,23,-,-,-,ORF23
WP_006665487.1,412,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,218,243,-,-,-,ORF23
WP_006665487.1,412,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,5,27,-,-,-,ORF23
WP_006665487.1,412,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,23,-,-,-,ORF23
WP_012946162.1,418,MobiDBLite,mobidb-lite,consensus disorder prediction,46,65,-,-,-,ORF23
WP_012946162.1,418,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,7,29,-,-,-,ORF23
WP_012946162.1,418,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,24,-,-,-,ORF23
WP_012946162.1,418,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,224,246,-,-,-,ORF23
WP_012946162.1,418,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,25,-,-,-,ORF23
WP_012946162.1,418,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,23,-,-,-,ORF23
WP_012946162.1,418,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,4,15,-,-,-,ORF23
WP_012946162.1,418,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",247,418,-,-,-,ORF23
WP_012946162.1,418,Coils,Coil,Coil,384,411,-,-,-,ORF23
WP_012946162.1,418,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,3,-,-,-,ORF23
WP_012946162.1,418,MobiDBLite,mobidb-lite,consensus disorder prediction,45,81,-,-,-,ORF23
WP_012946162.1,418,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,224,246,-,-,-,ORF23
WP_012946162.1,418,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,16,25,-,-,-,ORF23
WP_012946162.1,418,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,25,-,-,-,ORF23
WP_012946162.1,418,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",26,223,-,-,-,ORF23
WP_049967315.1,413,Coils,Coil,Coil,382,402,-,-,-,ORF23
WP_049967315.1,413,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,219,244,-,-,-,ORF23
WP_049967315.1,413,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,4,-,-,-,ORF23
WP_049967315.1,413,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",26,218,-,-,-,ORF23
WP_049967315.1,413,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,219,241,-,-,-,ORF23
WP_049967315.1,413,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,25,-,-,-,ORF23
WP_049967315.1,413,MobiDBLite,mobidb-lite,consensus disorder prediction,36,57,-,-,-,ORF23
WP_049967315.1,413,Coils,Coil,Coil,254,281,-,-,-,ORF23
WP_049967315.1,413,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,17,25,-,-,-,ORF23
WP_049967315.1,413,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",245,413,-,-,-,ORF23
WP_049967315.1,413,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,7,29,-,-,-,ORF23
WP_049967315.1,413,MobiDBLite,mobidb-lite,consensus disorder prediction,24,58,-,-,-,ORF23
WP_049967315.1,413,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,25,-,-,-,ORF23
WP_049967315.1,413,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,22,-,-,-,ORF23
WP_049967315.1,413,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,25,-,-,-,ORF23
WP_049967315.1,413,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,5,16,-,-,-,ORF23
WP_006111401.1,412,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,4,-,-,-,ORF23
WP_006111401.1,412,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,5,15,-,-,-,ORF23
WP_006111401.1,412,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",244,412,-,-,-,ORF23
WP_006111401.1,412,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,23,-,-,-,ORF23
WP_006111401.1,412,Coils,Coil,Coil,381,401,-,-,-,ORF23
WP_006111401.1,412,Coils,Coil,Coil,253,287,-,-,-,ORF23
WP_006111401.1,412,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,33,-,-,-,ORF23
WP_006111401.1,412,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,218,240,-,-,-,ORF23
WP_006111401.1,412,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,23,-,-,-,ORF23
WP_006111401.1,412,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,23,-,-,-,ORF23
WP_006111401.1,412,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,16,33,-,-,-,ORF23
WP_006111401.1,412,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",34,217,-,-,-,ORF23
WP_006111401.1,412,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,218,243,-,-,-,ORF23
WP_006111401.1,412,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,5,27,-,-,-,ORF23
WP_166975962.1,469,MobiDBLite,mobidb-lite,consensus disorder prediction,428,469,-,-,-,ORF23
WP_166975962.1,469,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,37,-,-,-,ORF23
WP_166975962.1,469,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,30,37,-,-,-,ORF23
WP_166975962.1,469,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,17,29,-,-,-,ORF23
WP_166975962.1,469,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,35,-,-,-,ORF23
WP_166975962.1,469,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,37,-,-,-,ORF23
WP_166975962.1,469,Coils,Coil,Coil,271,296,-,-,-,ORF23
WP_166975962.1,469,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",38,243,-,-,-,ORF23
WP_166975962.1,469,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,37,-,-,-,ORF23
WP_166975962.1,469,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,244,261,-,-,-,ORF23
WP_166975962.1,469,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",262,469,-,-,-,ORF23
WP_166975962.1,469,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,16,-,-,-,ORF23
WP_166975962.1,469,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,13,35,-,-,-,ORF23
WP_166975962.1,469,MobiDBLite,mobidb-lite,consensus disorder prediction,428,457,-,-,-,ORF23
SFQ07740.1,414,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,215,240,-,-,-,ORF23
SFQ07740.1,414,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",16,214,-,-,-,ORF23
SFQ07740.1,414,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,15,-,-,-,ORF23
SFQ07740.1,414,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,217,239,-,-,-,ORF23
SFQ07740.1,414,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,11,15,-,-,-,ORF23
SFQ07740.1,414,Coils,Coil,Coil,381,401,-,-,-,ORF23
SFQ07740.1,414,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,1,-,-,-,ORF23
SFQ07740.1,414,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",241,414,-,-,-,ORF23
SFQ07740.1,414,MobiDBLite,mobidb-lite,consensus disorder prediction,18,54,-,-,-,ORF23
SFQ07740.1,414,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,2,10,-,-,-,ORF23
SFQ07740.1,414,Coils,Coil,Coil,251,281,-,-,-,ORF23
SFQ07740.1,414,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,15,-,-,-,ORF23
WP_247005043.1,401,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",1,177,-,-,-,ORF23
WP_247005043.1,401,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",200,401,-,-,-,ORF23
WP_247005043.1,401,Coils,Coil,Coil,355,375,-,-,-,ORF23
WP_247005043.1,401,MobiDBLite,mobidb-lite,consensus disorder prediction,369,401,-,-,-,ORF23
WP_247005043.1,401,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,178,199,-,-,-,ORF23
WP_135306354.1,466,ProSiteProfiles,PS51318,Twin arginine translocation (Tat) signal profile.,1,36,7.9131,IPR006311,"Twin-arginine translocation pathway, signal sequence",ORF23
WP_135306354.1,466,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,35,-,-,-,ORF23
WP_135306354.1,466,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,35,-,-,-,ORF23
WP_135306354.1,466,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,36,-,-,-,ORF23
WP_135306354.1,466,MobiDBLite,mobidb-lite,consensus disorder prediction,424,454,-,-,-,ORF23
WP_135306354.1,466,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,15,-,-,-,ORF23
WP_135306354.1,466,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,16,27,-,-,-,ORF23
WP_135306354.1,466,MobiDBLite,mobidb-lite,consensus disorder prediction,424,466,-,-,-,ORF23
WP_135306354.1,466,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,28,35,-,-,-,ORF23
WP_135306354.1,466,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,16,38,-,-,-,ORF23
WP_135306354.1,466,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,35,-,-,-,ORF23
WP_135306354.1,466,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",36,466,-,-,-,ORF23
WP_135306354.1,466,Coils,Coil,Coil,268,293,-,-,-,ORF23
WP_076583927.1,474,MobiDBLite,mobidb-lite,consensus disorder prediction,53,96,-,-,-,ORF23
WP_076583927.1,474,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,13,23,-,-,-,ORF23
WP_076583927.1,474,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,12,-,-,-,ORF23
WP_076583927.1,474,MobiDBLite,mobidb-lite,consensus disorder prediction,442,474,-,-,-,ORF23
WP_076583927.1,474,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,28,-,-,-,ORF23
WP_076583927.1,474,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,28,-,-,-,ORF23
WP_076583927.1,474,Coils,Coil,Coil,428,448,-,-,-,ORF23
WP_076583927.1,474,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,253,275,-,-,-,ORF23
WP_076583927.1,474,MobiDBLite,mobidb-lite,consensus disorder prediction,59,82,-,-,-,ORF23
WP_076583927.1,474,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,244,275,-,-,-,ORF23
WP_076583927.1,474,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",29,243,-,-,-,ORF23
WP_076583927.1,474,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,28,-,-,-,ORF23
WP_076583927.1,474,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,13,35,-,-,-,ORF23
WP_076583927.1,474,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,24,28,-,-,-,ORF23
WP_076583927.1,474,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",276,474,-,-,-,ORF23
WP_076583927.1,474,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,28,-,-,-,ORF23
WP_245724315.1,438,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,2,13,-,-,-,ORF23
WP_245724315.1,438,MobiDBLite,mobidb-lite,consensus disorder prediction,21,62,-,-,-,ORF23
WP_245724315.1,438,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,21,-,-,-,ORF23
WP_245724315.1,438,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,14,21,-,-,-,ORF23
WP_245724315.1,438,MobiDBLite,mobidb-lite,consensus disorder prediction,408,438,-,-,-,ORF23
WP_245724315.1,438,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,217,239,-,-,-,ORF23
WP_245724315.1,438,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,1,-,-,-,ORF23
WP_245724315.1,438,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,21,-,-,-,ORF23
WP_245724315.1,438,MobiDBLite,mobidb-lite,consensus disorder prediction,25,48,-,-,-,ORF23
WP_245724315.1,438,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",22,207,-,-,-,ORF23
WP_245724315.1,438,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,17,-,-,-,ORF23
WP_245724315.1,438,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",240,438,-,-,-,ORF23
WP_245724315.1,438,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,17,-,-,-,ORF23
WP_245724315.1,438,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,208,239,-,-,-,ORF23
WP_178289021.1,415,Coils,Coil,Coil,382,402,-,-,-,ORF23
WP_178289021.1,415,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,23,-,-,-,ORF23
WP_178289021.1,415,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,219,241,-,-,-,ORF23
WP_178289021.1,415,MobiDBLite,mobidb-lite,consensus disorder prediction,25,44,-,-,-,ORF23
WP_178289021.1,415,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,216,241,-,-,-,ORF23
WP_178289021.1,415,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,23,-,-,-,ORF23
WP_178289021.1,415,MobiDBLite,mobidb-lite,consensus disorder prediction,25,57,-,-,-,ORF23
WP_178289021.1,415,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",242,415,-,-,-,ORF23
WP_178289021.1,415,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,4,15,-,-,-,ORF23
WP_178289021.1,415,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,16,23,-,-,-,ORF23
WP_178289021.1,415,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,3,-,-,-,ORF23
WP_178289021.1,415,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,23,-,-,-,ORF23
WP_178289021.1,415,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",24,215,-,-,-,ORF23
WP_178289021.1,415,Coils,Coil,Coil,252,279,-,-,-,ORF23
WP_178289021.1,415,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,23,-,-,-,ORF23
WP_178289021.1,415,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,4,23,-,-,-,ORF23
WP_253521882.1,367,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,171,196,-,-,-,ORF23
WP_253521882.1,367,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",1,170,-,-,-,ORF23
WP_253521882.1,367,Coils,Coil,Coil,339,359,-,-,-,ORF23
WP_253521882.1,367,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",197,367,-,-,-,ORF23
WP_253521882.1,367,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,174,196,-,-,-,ORF23
WP_276257219.1,459,MobiDBLite,mobidb-lite,consensus disorder prediction,33,70,-,-,-,ORF23
WP_276257219.1,459,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,31,-,-,-,ORF23
WP_276257219.1,459,MobiDBLite,mobidb-lite,consensus disorder prediction,431,459,-,-,-,ORF23
WP_276257219.1,459,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,23,-,-,-,ORF23
WP_276257219.1,459,MobiDBLite,mobidb-lite,consensus disorder prediction,33,52,-,-,-,ORF23
WP_276257219.1,459,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,7,29,-,-,-,ORF23
WP_276257219.1,459,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,24,-,-,-,ORF23
WP_007273973.1,457,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,218,247,-,-,-,ORF23
WP_007273973.1,457,MobiDBLite,mobidb-lite,consensus disorder prediction,27,57,-,-,-,ORF23
WP_007273973.1,457,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,6,17,-,-,-,ORF23
WP_007273973.1,457,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,219,241,-,-,-,ORF23
WP_007273973.1,457,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,18,25,-,-,-,ORF23
WP_007273973.1,457,Coils,Coil,Coil,413,433,-,-,-,ORF23
WP_007273973.1,457,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",26,217,-,-,-,ORF23
WP_007273973.1,457,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,5,-,-,-,ORF23
WP_007273973.1,457,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",248,457,-,-,-,ORF23
WP_007273973.1,457,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,25,-,-,-,ORF23
WP_007273973.1,457,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,25,-,-,-,ORF23
WP_007273973.1,457,MobiDBLite,mobidb-lite,consensus disorder prediction,426,457,-,-,-,ORF23
WP_007273973.1,457,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,25,-,-,-,ORF23
WP_007273973.1,457,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,7,26,-,-,-,ORF23
WP_007273973.1,457,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,24,-,-,-,ORF23
WP_007139931.1,408,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,192,209,-,-,-,ORF23
WP_007139931.1,408,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",1,191,-,-,-,ORF23
WP_007139931.1,408,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",210,408,-,-,-,ORF23
WP_007139931.1,408,MobiDBLite,mobidb-lite,consensus disorder prediction,1,15,-,-,-,ORF23
WP_007139931.1,408,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,187,209,-,-,-,ORF23
WP_007139931.1,408,MobiDBLite,mobidb-lite,consensus disorder prediction,373,408,-,-,-,ORF23
WP_007139931.1,408,MobiDBLite,mobidb-lite,consensus disorder prediction,373,392,-,-,-,ORF23
WP_007139931.1,408,MobiDBLite,mobidb-lite,consensus disorder prediction,1,33,-,-,-,ORF23
WP_175607307.1,443,MobiDBLite,mobidb-lite,consensus disorder prediction,411,427,-,-,-,ORF23
WP_175607307.1,443,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,13,23,-,-,-,ORF23
WP_175607307.1,443,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",36,212,-,-,-,ORF23
WP_175607307.1,443,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",245,443,-,-,-,ORF23
WP_175607307.1,443,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,213,244,-,-,-,ORF23
WP_175607307.1,443,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,12,-,-,-,ORF23
WP_175607307.1,443,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,222,244,-,-,-,ORF23
WP_175607307.1,443,MobiDBLite,mobidb-lite,consensus disorder prediction,411,443,-,-,-,ORF23
WP_175607307.1,443,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,35,-,-,-,ORF23
WP_175607307.1,443,MobiDBLite,mobidb-lite,consensus disorder prediction,428,443,-,-,-,ORF23
WP_175607307.1,443,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,24,35,-,-,-,ORF23
WP_175607307.1,443,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,35,-,-,-,ORF23
WP_175607307.1,443,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,28,-,-,-,ORF23
WP_175607307.1,443,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,13,35,-,-,-,ORF23
WP_175607307.1,443,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,35,-,-,-,ORF23
WP_135823088.1,494,SignalP_GRAM_NEGATIVE,SignalP-TM,SignalP-TM,1,38,-,-,-,ORF23
WP_135823088.1,494,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,18,29,-,-,-,ORF23
WP_135823088.1,494,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,38,-,-,-,ORF23
